"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232BK","Bottom Left Pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG233","BG233RD","Front Pocket"
"BG233","BG233BL","Front Pocket"
"BG233","BG233GY","Front Pocket"
"BG261","BG261BK","Front Pocket"
"BG261","BG261BK","Default"
"BG261","BG261BK","Front Pocket"
"BG261","BG261BK","Default"
"BG261","BG261BK","Front Pocket"
"BG261","BG261BK","Default"
"BG261","BG261BK","Front Pocket"
"BG261","BG261BK","Default"
"BG263","BG263RD","Front Pocket"
"BG263","BG263HU","Front Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263RD","Front Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263BK","Front Pocket"
"BG263","BG263HU","Front Pocket"
"BG263","BG263RD","Front Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263BK","Front Pocket"
"BG263","BG263HU","Front Pocket"
"BG263","BG263RD","Front Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263BK","Front Pocket"
"BG263","BG263HU","Front Pocket"
"BG263","BG263BK","Front Pocket"
"BG263","BG263RD","Front Pocket"
"BG263","BG263HU","Front Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263RD","Front Pocket"
"BG263","BG263BK","Top Flap Pocket"
"BG263","BG263RY","Front Pocket"
"BG263","BG263HU","Top Flap Pocket"
"BG263","BG263BK","Top Flap Pocket"
"BG263","BG263RD","Top Flap Pocket"
"BG263","BG263HU","Top Flap Pocket"
"BG263","BG263RY","Top Flap Pocket"
"BG263","BG263RD","Top Flap Pocket"
"BG263","BG263BK","Front Pocket"
"BG263","BG263RY","Top Flap Pocket"
